SiteCode,EventCode,Date
Scar.LowerLoyalsock,201406.Scar.LowerLoyalsock,6/3/2014
Shingle.Bear,201406.Shingle.Bear,6/3/2014
Snake.BearLoyalsock,201406.Snake.BearLoyalsock,6/3/2014
Conklin.LakeMokoma,201406.Conklin.LakeMokoma,6/4/2014
Level.Lick,201406.Level.Lick,6/4/2014
Lick.Kings,201406.Lick.Kings,6/4/2014
Streby.Lick,201406.Streby.Lick,6/4/2014
Yellow.LittleLoyalsock,201406.Yellow.LittleLoyalsock,6/4/2014
DryHB.Hoagland,201406.DryHB.Hoagland,6/5/2014
Swamp.Hoagland,201406.Swamp.Hoagland,6/5/2014
Mill.Loyalsock,201406.Mill.Loyalsock,6/6/2014
Sand.MillMokoma,201406.Sand.MillMokoma,6/6/2014
Dutchman.UpperLoyalsock,201406.Dutchman.UpperLoyalsock,6/9/2014
Ellis.UpperLoyalsock,201406.Ellis.UpperLoyalsock,6/9/2014
FlagMarsh.Pigeon,201406.FlagMarsh.Pigeon,6/9/2014
Sherman.UpperLoyalsock,201406.Sherman.UpperLoyalsock,6/9/2014
Grandad.Hessler,201406.Grandad.Hessler,6/10/2014
Huckle.Loyalsock,201406.Huckle.Loyalsock,6/10/2014
Fall.Hoagland,201406.Fall.Hoagland,6/11/2014
Porter.Hoagland,201406.Porter.Hoagland,6/11/2014
Weed.Hoagland,201406.Weed.Hoagland,6/11/2014
Lake.Elk,201406.Lake.Elk,6/12/2014
SandSpring.LittleBear,201406.SandSpring.LittleBear,6/12/2014
Coal.UpperLoyalsock,201406.Coal.UpperLoyalsock,6/19/2014
Rock.LittleLoyalsock,201406.Rock.LittleLoyalsock,6/19/2014
BearRun.Loyalsock,201406.BearRun.Loyalsock,6/20/2014
Porter.Hoagland,201506.Porter.Hoagland,6/15/2015
Scar.LowerLoyalsock,201506.Scar.LowerLoyalsock,6/15/2015
Swamp.Hoagland,201506.Swamp.Hoagland,6/15/2015
Brunnerdale.Ogdonia,201506.Brunnerdale.Ogdonia,6/16/2015
DryHB.Hoagland,201506.DryHB.Hoagland,6/16/2015
Painter.LittleBear,201506.Painter.LittleBear,6/16/2015
Red.LittleBear,201506.Red.LittleBear,6/16/2015
SandSpring.LittleBear,201506.SandSpring.LittleBear,6/16/2015
Conklin.LakeMokoma,201506.Conklin.LakeMokoma,6/17/2015
Ellis.UpperLoyalsock,201506.Ellis.Loyalsock,6/17/2015
FlagMarsh.Pigeon,201506.FlagMarsh.Pigeon,6/17/2015
Sand.MillMokoma,201506.Sand.MillMokoma,6/17/2015
Sherman.UpperLoyalsock,201506.Sherman.UpperLoyalsock,6/17/2015
Grandad.Hessler,201506.Grandad.Hessler,6/18/2015
Lick.Kings,201506.Lick.Kings,6/18/2015
Shingle.Bear,201506.Shingle.Bear,6/18/2015
Snake.BearLoyalsock,201506.Snake.BearLoyalsock,6/18/2015
Rock.LittleLoyalsock,201506.Rock.LittleLoyalsock,6/19/2015
DrySock.LowerLoyalsock,201506.DrySock.LowerLoyalsock,6/22/2015
Lake.Elk,201506.Lake.Elk,6/23/2015
Level.Lick,201506.Level.Lick,6/23/2015
Streby.Lick,201506.Streby.Lick,6/23/2015
Yellow.LittleLoyalsock,201506.Yellow.LittleLoyalsock,6/23/2015
Dutchman.UpperLoyalsock,201506.Dutchman.UpperLoyalsock,6/24/2015
Fall.Hoagland,201506.Fall.Hoagland,6/24/2015
Huckle.Loyalsock,201506.Huckle.Loyalsock,6/24/2015
Mill.Loyalsock,201506.Mill.Loyalsock,6/24/2015
Weed.Hoagland,201506.Weed.Hoagland,6/24/2015
BearRun.Loyalsock,201506.BearRun.Loyalsock,6/25/2015
Coal.UpperLoyalsock,201506.Coal.UpperLoyalsock,6/25/2015
Conklin.LakeMokoma,201606.Conklin.LakeMokoma,6/12/2016
Sand.MillMokoma,201606.Sand.MillMokoma,6/12/2016
DrySock.LowerLoyalsock,201606.DrySock.LowerLoyalsock,6/13/2016
Dutchman.UpperLoyalsock,201606.Dutchman.UpperLoyalsock,6/13/2016
Ellis.UpperLoyalsock,201606.Ellis.UpperLoyalsock,6/13/2016
FlagMarsh.Pigeon,201606.FlagMarsh.Pigeon,6/13/2016
Sherman.UpperLoyalsock,201606.Sherman.UpperLoyalsock,6/13/2016
Brunnerdale.Ogdonia,201606.Brunnerdale.Ogdonia,6/14/2016
DryHB.Hoagland,201606.DryHB.Hoagland,6/14/2016
Level.Lick,201606.Level.Lick,6/14/2016
Porter.Hoagland,201606.Porter.Hoagland,6/14/2016
Streby.Lick,201606.Streby.Lick,6/14/2016
Mill.Loyalsock,201606.Mill.Loyalsock,6/15/2016
Scar.LowerLoyalsock,201606.Scar.LowerLoyalsock,6/15/2016
Lick.Kings,201606.Lick.Kings,6/16/2016
Rock.LittleLoyalsock,201606.Rock.LittleLoyalsock,6/16/2016
Grandad.Hessler,201606.Grandad.Hessler,6/20/2016
Shingle.Bear,201606.Shingle.Bear,6/20/2016
Snake.BearLoyalsock,201606.Snake.BearLoyalsock,6/20/2016
BearRun.Loyalsock,201606.BearRun.Loyalsock,6/21/2016
