"","SiteCode","Year","Month","Highest_Temperature_C","Lowest_Temperature_C","AvgMin","AvgMax","Avg_YM_TempC","PropLogL3","PropLogL5","PropLogL4.5","PropLogG20","PropLogG24"
"1","Bear.Loyalsock","2021","01",3.155,-2.962,-0.0174838709677419,1.36203225806452,0.777546034946237,0.989247311827957,1,1,0,0
"2","Brunnerdale.Ogdonia","2021","01",3.893,0.232,1.52535483870968,2.32838709677419,1.9239875672043,0.778225806451613,1,1,0,0
"3","Dry.Hoagland","2017","01",5.552,0.232,1.89867741935484,2.71541935483871,2.33253494623656,0.648185483870968,0.969422043010753,0.936827956989247,0,0
"4","Dry.Hoagland","2018","01",3.367,0.232,0.72658064516129,1.30887096774194,1.01788071236559,0.978494623655914,1,1,0,0
"5","Dry.Hoagland","2021","01",3.578,-3.197,0.470161290322581,1.68229032258065,1.12959139784946,0.886088709677419,1,1,0,0
"6","Dutchman.Loyalsock","2021","01",3.788,0.232,1.84722580645161,2.57629032258065,2.21794119623656,0.765456989247312,1,1,0,0
"7","Ellis.Loyalsock","2021","01",3.472,0.121,1.05606451612903,1.98706451612903,1.48846908602151,0.963373655913978,1,1,0,0
"8","Fall.Hoagland","2021","01",0.121,-8.182,-2.81622580645161,-1.00209677419355,-1.86369590053763,1,1,1,0,0
"9","FlagMarsh.Pigeon","2021","01",1.221,-12.509,-5.01006451612903,-1.34090322580645,-2.98858971774194,1,1,1,0,0
"10","Grandad.Hessler","2021","01",5.552,1.548,3.47083870967742,4.11638709677419,3.81877788978495,0.227150537634409,0.860551075268817,0.662970430107527,0,0
"11","Level.Lick","2021","01",2.73,-0.102,0.77158064516129,1.4641935483871,1.13447950268817,1,1,1,0,0
"12","Painter.LittleBear","2021","01",5.347,0.784,3.36370967741935,4.02325806451613,3.70693178763441,0.220766129032258,0.905577956989247,0.662634408602151,0,0
"13","Red.LittleBear","2021","01",5.141,0.893,3.26483870967742,4.01761290322581,3.66937701612903,0.241599462365591,0.951948924731183,0.695900537634409,0,0
"14","Sand.Mill","2021","01",2.73,0.121,1.06570967741935,1.66548387096774,1.37867338709677,1,1,1,0,0
"15","SandSpring.LittleBear","2021","01",6.37,2.195,4.508,5.17838709677419,4.86104637096774,0.0917338709677419,0.397177419354839,0.307795698924731,0,0
"16","Sherman.Loyalsock","2021","01",2.837,0.343,1.01396774193548,1.67993548387097,1.3083373655914,1,1,1,0,0
"17","Shingle.Bear","2021","01",5.037,0.121,2.51038709677419,3.22754838709677,2.89162768817204,0.470766129032258,0.995967741935484,0.902889784946237,0,0
"18","Streby.Lick","2021","01",3.049,0.121,0.884677419354839,1.653,1.28619018817204,0.998319892473118,1,1,0,0
"19","Yellow.LittleLoyalsock","2021","01",2.517,-5.003,-0.969483870967742,0.894290322580645,0.0874270833333333,1,1,1,0,0
"20","Bear.Loyalsock","2021","02",2.41,-0.102,0.289892857142857,0.669535714285714,0.463595238095238,1,1,1,0,0
"21","Brunnerdale.Ogdonia","2021","02",2.195,0.121,0.456392857142857,1.00817857142857,0.722115327380952,1,1,1,0,0
"22","Dry.Hoagland","2017","02",8.382,0.232,1.89614285714286,3.21967857142857,2.51587760416667,0.68452380952381,0.878348214285714,0.858630952380952,0,0
"23","Dry.Hoagland","2018","02",6.268,0.232,1.74035714285714,2.62767857142857,2.15017671130952,0.664806547619048,0.938616071428571,0.869419642857143,0,0
"24","Dry.Hoagland","2021","02",1.112,-1.456,-0.0193928571428571,0.353642857142857,0.1654765625,1,1,1,0,0
"25","Dutchman.Loyalsock","2021","02",2.517,0.01,0.679571428571429,1.425,1.06986755952381,1,1,1,0,0
"26","Ellis.Loyalsock","2021","02",3.261,0.121,0.381357142857143,1.22396428571429,0.726841145833333,0.994419642857143,1,1,0,0
"27","Fall.Hoagland","2021","02",0.01,-2.962,-1.05332142857143,-0.583107142857143,-0.823172991071429,1,1,1,0,0
"28","FlagMarsh.Pigeon","2021","02",0.121,-4.031,-1.02185714285714,-0.506678571428571,-0.774014880952381,1,1,1,0,0
"29","Grandad.Hessler","2021","02",3.261,0.232,1.57957142857143,2.50739285714286,2.09000037202381,0.946056547619048,1,1,0,0
"30","Level.Lick","2021","02",1.439,-1.001,0.0922857142857143,0.408357142857143,0.281200892857143,1,1,1,0,0
"31","Painter.LittleBear","2021","02",3.472,0.121,1.01835714285714,2.04096428571429,1.50630022321429,0.955729166666667,1,1,0,0
"32","Red.LittleBear","2021","02",3.472,0.232,1.38853571428571,2.31864285714286,1.86778087797619,0.921502976190476,1,1,0,0
"33","Sand.Mill","2021","02",1.764,0.121,0.491857142857143,0.958464285714286,0.721528273809524,1,1,1,0,0
"34","SandSpring.LittleBear","2021","02",4.415,0.784,2.45160714285714,3.34539285714286,2.91070089285714,0.523065476190476,1,1,0,0
"35","Sherman.Loyalsock","2021","02",2.303,0.232,0.445071428571429,0.816678571428571,0.610739583333333,1,1,1,0,0
"36","Shingle.Bear","2021","02",2.41,0.121,0.510642857142857,1.06628571428571,0.774061755952381,1,1,1,0,0
"37","Streby.Lick","2021","02",1.872,0.121,0.255285714285714,0.691607142857143,0.456008556547619,1,1,1,0,0
"38","Yellow.LittleLoyalsock","2021","02",1.98,-3.553,-0.468571428571429,0.245392857142857,-0.105478794642857,1,1,1,0,0
"39","Bear.Loyalsock","2021","03",10.455,0.01,2.62916129032258,5.06296774193548,3.68066129032258,0.513440860215054,0.71135752688172,0.685483870967742,0,0
"40","Brunnerdale.Ogdonia","2021","03",9.077,0.121,2.77435483870968,4.60925806451613,3.62193884408602,0.47883064516129,0.723454301075269,0.693212365591398,0,0
"41","Dry.Hoagland","2017","03",7.582,0.232,1.98429032258065,3.387,2.61158030913978,0.604166666666667,0.866599462365591,0.798051075268817,0,0
