"","SiteCode","Year","Month","Highest_Temperature_C","Lowest_Temperature_C","AvgMin","AvgMax","numberoflogs_MYG10"
"70","Dry.Hoagland","2017","01",5.552,0.232,1.89867741935484,2.71541935483871,0
"71","Dry.Hoagland","2017","02",8.382,0.232,1.89614285714286,3.21967857142857,0
"72","Dry.Hoagland","2017","03",7.582,0.232,1.98429032258065,3.387,0
"73","Dry.Hoagland","2017","04",14.996,4.102,7.68623333333333,10.2894666666667,877
"74","Dry.Hoagland","2017","05",16.427,6.573,9.74370967741936,11.7316451612903,1789
"75","Dry.Hoagland","2017","06",20.138,8.879,12.6920333333333,14.7974666666667,2754
"76","Dry.Hoagland","2017","07",18.14,13.75,15.3770967741935,16.2360322580645,2976
"77","Dry.Hoagland","2017","08",17.665,12.594,14.592,15.5824516129032,2976
"78","Dry.Hoagland","2017","09",19.282,8.581,12.8300333333333,14.6025666666667,2845
"79","Dry.Hoagland","2017","10",17.665,5.552,10.7087741935484,12.782064516129,2300
"80","Dry.Hoagland","2017","11",11.236,2.624,5.32706666666667,6.54083333333333,247
"81","Dry.Hoagland","2017","12",5.962,0.232,1.71674193548387,2.44274193548387,0
"82","Dry.Hoagland","2018","01",3.367,0.232,0.72658064516129,1.30887096774194,0
"83","Dry.Hoagland","2018","02",6.268,0.232,1.74035714285714,2.62767857142857,0
"84","Dry.Hoagland","2018","03",5.757,0.232,1.77196774193548,3.15383870967742,0
"85","Dry.Hoagland","2018","04",10.357,1.548,4.47993333333333,6.54546666666667,17
"86","Dry.Hoagland","2018","05",14.517,5.757,10.4278064516129,12.2155483870968,2514
"87","Dry.Hoagland","2018","06",14.9,13.75,13.75,14.9,73
"88","Dry.Hoagland","2020","06",15.76,13.558,14.360875,15.317875,714
"89","Dry.Hoagland","2020","07",18.236,14.613,16.1284516129032,16.893935483871,2976
"90","Dry.Hoagland","2020","08",18.236,13.846,15.9035483870968,16.7831935483871,2976
"91","Dry.Hoagland","2020","09",16.903,8.182,12.7276666666667,13.7552666666667,2542
"92","Dry.Hoagland","2020","10",13.365,7.481,10.0926129032258,10.957935483871,2110
"93","Dry.Hoagland","2020","11",11.236,3.683,6.5305,7.6695,99
"94","Dry.Hoagland","2020","12",7.882,0.01,2.76148387096774,3.90087096774194,0
"95","Dry.Hoagland","2021","01",3.578,-3.197,0.470161290322581,1.68229032258065,0
"96","Dry.Hoagland","2021","02",1.112,-1.456,-0.0193928571428571,0.353642857142857,0
"97","Dry.Hoagland","2021","03",9.965,-0.887,2.75329032258065,4.76906451612903,0
"98","Dry.Hoagland","2021","04",17.95,0.343,5.28806666666667,9.97886666666667,417
"99","Dry.Hoagland","2021","05",20.138,6.166,8.85022580645161,12.3422580645161,1412
"100","Dry.Hoagland","2021","06",19.853,8.382,12.9312,16.403,1334
"101","Dry.Loyalsock","2020","06",19.092,15.187,15.7715,18.259375,732
"102","Dry.Loyalsock","2020","07",22.525,16.046,17.7413548387097,20.3419677419355,2976
"103","Dry.Loyalsock","2020","08",21.951,15.473,17.7073870967742,19.8471290322581,2976
"104","Dry.Loyalsock","2020","09",22.908,3.893,13.4568666666667,17.4397666666667,2582
"105","Dry.Loyalsock","2020","10",15.282,7.782,10.9975161290323,12.4165806451613,2675
"106","Dry.Loyalsock","2020","11",11.528,4.207,6.65986666666667,7.89906666666667,146
"107","Dry.Loyalsock","2020","12",7.782,0.121,2.98879166666667,3.99841666666667,0
"108","Dutchman.Loyalsock","2018","06",14.709,12.69,13.0756666666667,14.453,241
"109","Dutchman.Loyalsock","2018","07",17.76,11.722,13.5418709677419,14.8793548387097,2976
"110","Dutchman.Loyalsock","2018","08",17.284,12.11,14.1388387096774,15.2566774193548,2976
"111","Dutchman.Loyalsock","2018","09",23.677,3.998,12.3547333333333,16.9959,2656
"112","Dutchman.Loyalsock","2018","10",22.621,-2.494,5.17341935483871,12.4672903225806,1132
"113","Dutchman.Loyalsock","2018","11",14.996,-18.675,-2.21466666666667,3.51053333333333,196
"114","Dutchman.Loyalsock","2018","12",12.401,-12.509,-4.01077419354839,2.34,75
"115","Dutchman.Loyalsock","2019","01",7.179,-24.626,-9.61458064516129,-1.71938709677419,0
"116","Dutchman.Loyalsock","2019","02",9.768,-23.119,-7.25264285714286,1.03903571428571,0
"117","Dutchman.Loyalsock","2019","03",16.903,-20.714,-6.21954838709677,5.26187096774194,150
"118","Dutchman.Loyalsock","2019","04",25.513,-7.918,5.1319,11.5187333333333,426
"119","Dutchman.Loyalsock","2019","05",12.98,7.28,9.2581935483871,10.6477096774194,1323
"120","Dutchman.Loyalsock","2019","06",13.75,8.182,10.80316,12.08092,2191
"121","Dutchman.Loyalsock","2020","06",14.9,10.259,12.3526666666667,13.8506666666667,1395
"122","Dutchman.Loyalsock","2020","07",17.57,13.076,14.6086774193548,15.993064516129,2976
"123","Dutchman.Loyalsock","2020","08",16.903,12.11,14.4632258064516,15.7065806451613,2976
"124","Dutchman.Loyalsock","2020","09",17.475,7.179,11.7238666666667,13.0897666666667,2359
"125","Dutchman.Loyalsock","2020","10",12.497,5.86,8.97070967741936,10.1236451612903,1050
"126","Dutchman.Loyalsock","2020","11",11.236,2.088,5.42166666666667,6.92096666666667,80
"127","Dutchman.Loyalsock","2020","12",7.28,0.01,2.73129032258065,3.71083870967742,0
"128","Dutchman.Loyalsock","2021","01",3.788,0.232,1.84722580645161,2.57629032258065,0
"129","Dutchman.Loyalsock","2021","02",2.517,0.01,0.679571428571429,1.425,0
"130","Dutchman.Loyalsock","2021","03",8.182,0.121,2.59370967741935,3.91770967741935,0
"131","Dutchman.Loyalsock","2021","04",10.259,2.195,5.74246666666667,7.51346666666667,41
"132","Dutchman.Loyalsock","2021","05",13.365,6.064,8.38512903225806,10.0200967741935,1007
"133","Dutchman.Loyalsock","2021","06",17.189,8.581,11.7767666666667,13.3212666666667,2738
"134","Dutchman.Loyalsock","2021","07",16.332,11.819,13.8313548387097,15.1056129032258,2976
"135","Dutchman.Loyalsock","2021","08",17.855,11.431,14.1703548387097,15.422064516129,2976
"136","Dutchman.Loyalsock","2021","09",16.332,10.651,12.9667666666667,14.2142666666667,2880
"137","Dutchman.Loyalsock","2021","10",13.846,8.68,10.9734193548387,12.0894838709677,2487
"138","Dutchman.Loyalsock","2021","11",9.965,3.367,5.7548,6.99063333333333,0
"139","Dutchman.Loyalsock","2021","12",6.37,2.73,3.87181818181818,4.73227272727273,0
"140","Ellis.Loyalsock","2020","06",19.187,11.236,13.5890714285714,17.535,1304
"141","Ellis.Loyalsock","2020","07",21.187,13.942,15.9553548387097,19.4877096774194,2976
"142","Ellis.Loyalsock","2020","08",20.901,12.013,15.8035483870968,18.6989677419355,2976
"143","Ellis.Loyalsock","2020","09",18.426,5.962,12.0094,14.7888,2405
"144","Ellis.Loyalsock","2020","10",14.613,5.037,8.80445161290323,11.1524838709677,1444
"145","Ellis.Loyalsock","2020","11",11.819,1.221,5.00973333333333,7.46153333333333,119
"146","Ellis.Loyalsock","2020","12",7.582,0.121,2.13206451612903,3.46393548387097,0
"147","Ellis.Loyalsock","2021","01",3.472,0.121,1.05606451612903,1.98706451612903,0
"148","Ellis.Loyalsock","2021","02",3.261,0.121,0.381357142857143,1.22396428571429,0
"149","Ellis.Loyalsock","2021","03",9.768,0.121,2.25516129032258,4.86941935483871,0
